# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.620000,-3.956547,-0.000000,0.000000,1.425102,-1.598924,0.704243,-0.139593,0.010383,1.698082,-0.000000,0.000000,-0.256210,0.417560,-0.226500,0.051289,-0.004187,1.001153,-0.000000,-0.000000,0.179814,-0.258144,0.135047,-0.030491,0.002518,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-2.689334,0.203522,-0.191183,0.525629,-0.522238,0.233530,-0.047374,0.003561,1.754108,0.021573,0.052015,-0.398242,0.425602,-0.189788,0.038582,-0.002947,1.046653,-0.027625,0.044776,0.342259,-0.526078,0.287687,-0.067789,0.005811,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.629117,0.302952,-0.301402,0.024656,0.254622,-0.168741,0.039961,-0.003264,1.542945,0.024943,0.068113,-0.214594,0.189953,-0.073130,0.012718,-0.000799,1.058502,-0.359817,0.117248,1.036393,-1.011280,0.385203,-0.067248,0.004496,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.143889,0.159891,0.269534,-0.102847,0.281129,-0.224055,0.061887,-0.005675,1.615789,0.184735,0.311476,0.217024,-0.532828,0.278316,-0.059199,0.004566,1.546472,0.079992,0.059188,0.090740,-0.061824,0.005464,0.002256,-0.000343,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.121290,0.471043,0.300654,-0.785350,0.557353,-0.184493,0.030035,-0.001945,2.154071,-0.039665,-0.078782,0.252101,-0.238350,0.094474,-0.017385,0.001234,1.977581,0.045706,0.107794,-0.010100,-0.139215,0.100504,-0.026207,0.002348,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,1.281014,0.514277,0.053877,-0.084264,-0.040483,0.039828,-0.009816,0.000792,1.663811,-0.217835,0.059406,0.102271,-0.056044,-0.015510,0.010905,-0.001341,1.802579,-0.448513,-0.120284,0.394963,-0.105958,-0.050234,0.024237,-0.002629,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,2.019686,-0.031047,-0.097794,-0.004660,0.153671,-0.104835,0.026493,-0.002344,0.855419,-0.168543,-0.010149,-0.455381,0.383931,-0.140947,0.025287,-0.001784,1.040429,-0.043222,0.118456,-0.528715,0.625042,-0.312544,0.070455,-0.005869,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,2.145424,0.110454,-0.158064,-0.472099,0.756040,-0.354913,0.069157,-0.004886,-0.808731,-0.102857,0.212898,-0.099065,-0.210426,0.161958,-0.039968,0.003295,1.137548,0.610559,0.124059,-0.864923,0.700751,-0.251482,0.043088,-0.002886,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,3.104036,0.107135,0.150438,0.212019,-0.385274,0.192054,-0.040140,0.003070,-1.643444,-0.490150,-0.513213,-0.036798,0.540568,-0.313972,0.069314,-0.005447,1.400711,-0.203298,-0.155294,-0.139196,0.328354,-0.171999,0.036758,-0.002850,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,3.428258,-0.030813,-0.052997,0.168815,-0.144093,0.055710,-0.010211,0.000722,-2.632989,0.060395,0.080713,-0.331619,0.310246,-0.127373,0.024394,-0.001784,0.994058,0.033662,0.038161,-0.178447,0.172317,-0.072038,0.013967,-0.001030,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
