# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.620000,2.392401,-0.000000,-0.000000,-1.651277,1.937021,-0.884592,0.179212,-0.013464,-2.976889,-0.000000,0.000000,-0.806084,0.930315,-0.409024,0.080629,-0.005977,1.222808,0.000000,0.000000,0.723078,-0.801094,0.346365,-0.067276,0.004895,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.403099,-0.547960,0.601198,-0.417019,0.246347,-0.108308,0.024913,-0.002164,-2.970174,0.225988,0.026114,-0.361061,0.269031,-0.071345,0.006004,0.000103,1.754574,-0.004343,-0.216838,0.105460,0.156673,-0.135092,0.034902,-0.002959,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.076619,-0.009641,-0.016667,-0.414094,0.497655,-0.224088,0.043784,-0.003130,-2.738099,0.030673,0.226269,0.501950,-0.494784,0.161377,-0.021770,0.000977,1.263735,-0.122053,0.439304,0.000973,-0.277821,0.155162,-0.032968,0.002497,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.780810,-0.374565,0.241013,0.157705,-0.212938,0.079663,-0.012468,0.000699,-1.526705,0.274506,0.009730,-0.295550,0.441977,-0.239983,0.055067,-0.004545,1.526354,-0.020830,-0.108400,0.042434,0.113833,-0.096988,0.027158,-0.002562,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.909670,0.064065,0.003839,-0.117204,0.120524,-0.057842,0.012677,-0.001023,-0.816985,0.332211,0.219930,-0.416447,0.265023,-0.073850,0.008569,-0.000269,1.545450,0.127360,-0.193923,-0.650115,1.027130,-0.494789,0.099864,-0.007351,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.253921,-0.142812,0.067441,-0.073235,0.045475,-0.015262,0.002363,-0.000128,0.207880,0.157752,0.065332,0.257662,-0.219037,0.062660,-0.007093,0.000223,2.271741,-0.091528,0.060411,-0.052356,0.004576,0.008937,-0.003313,0.000343,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.766171,-0.214336,0.021358,0.056879,-0.178098,0.100489,-0.021009,0.001507,1.051606,0.057109,0.007398,-0.091613,0.139024,-0.062053,0.010988,-0.000674,1.930277,-0.121020,0.038136,0.104936,-0.193730,0.094455,-0.018084,0.001203,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-2.677874,0.047869,-0.133396,-0.226382,0.177641,-0.036500,0.000462,0.000361,1.543111,-0.027171,0.009910,0.163013,-0.064402,-0.011527,0.008215,-0.000948,1.522284,0.118152,-0.126660,-0.250295,0.151714,-0.011243,-0.006363,0.000964,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-3.196789,-0.041659,-0.037979,0.170280,-0.152265,0.059223,-0.010733,0.000743,1.847025,0.043770,0.034002,-0.183730,0.177560,-0.074033,0.014336,-0.001057,1.013453,-0.054270,-0.056936,0.229601,-0.202327,0.078552,-0.014288,0.000995,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-3.202374,0.002159,-0.018042,0.007066,0.009162,-0.007400,0.001883,-0.000162,1.854518,0.012803,0.008448,-0.066032,0.070036,-0.030753,0.006151,-0.000464,1.003568,-0.000674,-0.020368,0.019475,-0.002635,-0.002562,0.000960,-0.000095,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
