# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.620000,5.336863,0.000000,-0.000000,-0.500467,0.611495,-0.291480,0.062016,-0.004913,-0.624596,0.000000,-0.000000,0.181538,-0.214274,0.101224,-0.021632,0.001734,1.014668,0.000000,0.000000,0.310806,-0.341601,0.148999,-0.029320,0.002165,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,4.942632,0.004030,-0.019084,-0.533583,0.612482,-0.275413,0.055705,-0.004225,-0.440444,0.016536,0.053345,0.240142,-0.319258,0.154476,-0.033018,0.002624,1.373851,0.070345,-0.069494,0.081870,-0.050591,0.014743,-0.001903,0.000080,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,4.300553,-0.153726,0.024154,-0.300688,0.203755,-0.047672,0.003242,0.000112,-0.010653,0.084339,0.045863,0.306455,-0.339960,0.135126,-0.023604,0.001530,1.448549,0.008408,-0.020557,-0.042632,0.107927,-0.064956,0.015618,-0.001321,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,3.359288,-0.213512,-0.023055,0.151132,-0.220343,0.121241,-0.029481,0.002648,0.401704,0.042487,-0.080871,-0.106671,0.168275,-0.078647,0.016030,-0.001235,1.728061,0.337441,0.176251,-0.112801,-0.149501,0.121697,-0.031104,0.002695,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,2.212072,-0.397931,0.435260,0.792921,-1.300724,0.612084,-0.120033,0.008548,0.450833,-0.006381,-0.154250,-0.193417,0.471502,-0.286943,0.070396,-0.006110,1.844039,-0.263163,-0.015601,0.355763,-0.423346,0.186810,-0.035850,0.002537,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.738211,-0.394871,-0.466287,-0.337591,0.864476,-0.473518,0.105201,-0.008435,0.466428,0.687116,0.268174,-0.901922,0.604682,-0.188505,0.028435,-0.001659,0.988268,-0.067493,-0.040992,-0.056555,0.133951,-0.074178,0.016647,-0.001346,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.698612,-0.068421,0.080222,-0.759278,0.707829,-0.275193,0.049565,-0.003415,0.810746,-0.023644,0.177923,0.156100,-0.320150,0.152411,-0.029322,0.002016,0.913956,0.032685,0.002488,-0.131244,0.134621,-0.054341,0.009903,-0.000679,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.711642,-0.231144,0.039911,-0.070124,-0.074506,0.064685,-0.015811,0.001264,0.670531,-0.087990,-0.205456,-0.207385,0.537003,-0.287002,0.060830,-0.004616,0.929467,0.017353,0.028165,0.011374,-0.033516,0.012915,-0.001544,0.000026,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-3.216237,-0.353310,-0.116742,-0.074198,-0.029004,0.072435,-0.025362,0.002621,0.906923,-0.091888,0.041852,-0.075167,0.026921,0.003333,-0.002948,0.000358,0.907684,0.042074,0.000282,-0.092301,0.113992,-0.054834,0.011731,-0.000932,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-5.217936,-0.732687,0.046279,0.689229,-0.604493,0.225217,-0.039762,0.002726,0.533705,-0.131186,0.002230,0.105723,-0.078907,0.025136,-0.003798,0.000223,0.982865,0.043509,0.004198,-0.096976,0.100039,-0.042729,0.008382,-0.000623,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
