# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.620000,-1.446648,0.000000,0.000000,0.325238,-0.379494,0.168478,-0.033757,0.002567,-3.054680,0.000000,0.000000,1.778381,-2.100534,0.969741,-0.200479,0.015473,0.995611,0.000000,-0.000000,0.081999,-0.101467,0.044600,-0.008651,0.000635,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-1.508864,-0.040057,0.170610,0.308415,-0.518527,0.262046,-0.054661,0.004080,-1.672671,-0.042272,-0.234533,1.234511,-1.168572,0.484816,-0.094553,0.007071,0.888753,-0.004999,0.070732,0.063890,-0.184104,0.111467,-0.026594,0.002225,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.703181,0.317072,-0.480734,-0.199252,0.463999,-0.224293,0.045102,-0.003331,-0.802411,0.043492,0.028921,0.636832,-0.532288,0.169865,-0.023963,0.001238,0.786957,-0.346647,-0.287093,0.148281,0.161807,-0.128570,0.031788,-0.002677,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.698833,0.214074,0.127884,-0.103788,-0.043040,0.026827,-0.002682,-0.000099,0.293164,0.261098,0.110617,-0.104475,0.081655,-0.043601,0.010919,-0.000977,0.393305,0.111773,-0.008513,-0.286873,0.261101,-0.091713,0.014664,-0.000893,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,-0.725337,0.368609,0.145591,-0.349427,0.194885,-0.032335,-0.001402,0.000540,1.266697,0.356112,0.090816,-0.145663,-0.100220,0.104958,-0.026862,0.002175,0.624588,0.192753,0.010034,0.019100,-0.056083,0.029745,-0.006249,0.000471,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.550573,0.178735,-0.227040,0.150659,-0.056173,0.011468,-0.001127,0.000036,2.143952,0.464676,-0.376631,-0.253782,0.463085,-0.225971,0.046963,-0.003601,0.993616,0.024523,-0.030606,0.006650,0.012380,-0.009149,0.002322,-0.000204,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.606498,0.003761,-0.005161,-0.015070,0.024553,-0.012976,0.002917,-0.000239,2.251207,0.051416,0.046085,-0.246079,0.241413,-0.101660,0.019799,-0.001464,1.000829,0.009282,-0.003488,-0.034414,0.043149,-0.020202,0.004184,-0.000322,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.605172,0.007259,0.000526,-0.028646,0.033621,-0.015714,0.003308,-0.000260,2.256342,0.016659,0.016648,-0.087663,0.089086,-0.038941,0.007857,-0.000600,0.998895,0.004648,0.004849,-0.023120,0.023022,-0.010021,0.002029,-0.000156,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.605859,0.005924,-0.001835,-0.028464,0.037642,-0.018643,0.004064,-0.000328,2.259313,0.011630,0.000942,-0.053069,0.063645,-0.030068,0.006358,-0.000501,1.000363,0.003111,-0.001925,-0.016487,0.023878,-0.012437,0.002809,-0.000233,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.620000,0.605773,0.009055,-0.001473,-0.038843,0.047451,-0.022108,0.004574,-0.000353,2.259398,0.012126,0.000627,-0.051425,0.059562,-0.027096,0.005527,-0.000422,1.000683,0.007969,-0.003019,-0.032978,0.042054,-0.019914,0.004157,-0.000322,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
