# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,1.630519,-0.000000,0.000000,-1.693098,1.953912,-0.921086,0.205055,-0.017982,2.413730,0.000000,-0.000000,0.875380,-0.986341,0.456462,-0.100351,0.008725,1.226899,-0.000000,0.000000,0.345268,-0.411832,0.197917,-0.044680,0.003956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.734159,-0.249889,0.272156,-0.158956,-0.037210,0.068686,-0.022776,0.002425,2.912482,0.154989,-0.163982,0.064992,0.024114,-0.033060,0.010200,-0.001040,1.379688,0.012093,-0.063709,0.034816,0.004702,-0.015146,0.005442,-0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.519328,-0.081472,0.072971,0.031657,-0.031580,-0.011831,0.007948,-0.001025,2.950211,-0.069125,-0.079588,-0.024488,0.010340,0.006170,-0.002975,0.000345,1.308714,-0.090962,-0.048947,-0.007274,0.010575,0.002691,-0.002157,0.000289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.444139,-0.215864,-0.215802,-0.026835,0.039299,0.004000,-0.005033,0.000686,2.567359,-0.283323,0.018443,0.029360,-0.008383,-0.002394,0.001398,-0.000173,1.048912,-0.124700,0.049583,0.010137,-0.011136,-0.000869,0.001501,-0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.446514,-0.531847,0.117689,0.049494,-0.029485,-0.003473,0.003656,-0.000488,2.190706,-0.135007,0.025537,-0.009013,0.002722,0.000880,-0.000795,0.000116,0.948079,-0.035708,-0.014145,-0.003798,0.008994,0.000262,-0.001292,0.000206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.016522,-0.199015,-0.009485,-0.027427,0.017494,0.002665,-0.002526,0.000336,2.002344,-0.083306,0.001871,-0.010968,-0.004198,0.000260,0.000680,-0.000116,0.883906,0.003330,0.033724,-0.005812,-0.009296,0.000430,0.001323,-0.000224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.398355,-0.156702,0.073857,0.013149,-0.012806,-0.001658,0.001730,-0.000233,1.769153,-0.219324,-0.062780,0.004081,0.007411,-0.000366,-0.000796,0.000131,0.906849,-0.029872,-0.033175,0.013965,0.013242,-0.000576,-0.001509,0.000236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.485711,-0.008548,-0.021339,-0.016253,0.008844,0.001100,-0.001222,0.000170,1.243479,-0.310915,0.008541,0.000434,-0.007908,-0.000027,0.000858,-0.000129,0.919809,0.152692,0.122167,0.000681,-0.017140,-0.000727,0.001481,-0.000182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.583329,-0.077343,0.002064,0.002719,-0.005991,-0.000483,0.000930,-0.000138,0.647821,-0.396546,-0.060715,-0.004466,0.007211,0.000408,-0.000778,0.000107,1.442841,0.283835,-0.090073,-0.040037,0.011249,0.002824,-0.000827,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.750199,-0.136741,-0.036182,0.001925,0.006662,0.000108,-0.000822,0.000126,-0.230562,-0.531706,-0.000727,0.008950,-0.005169,-0.000696,0.000575,-0.000062,1.572765,-0.105401,-0.038219,0.048552,0.003177,-0.003836,-0.000400,0.000165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.052070,-0.149662,0.030889,0.003713,-0.006516,-0.000123,0.000779,-0.000120,-1.195017,-0.554696,-0.027949,-0.006580,0.003809,0.001247,-0.000217,-0.000010,1.500721,0.096998,0.063430,-0.039487,-0.016910,0.003183,0.001692,-0.000332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.252269,-0.101085,-0.007642,-0.000001,0.005839,0.000109,-0.000736,0.000112,-2.272778,-0.591113,0.045977,0.032218,0.002274,-0.001825,-0.000349,0.000097,1.568681,-0.176147,-0.157533,0.018418,0.026189,-0.001270,-0.002513,0.000402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.414237,-0.042621,0.040818,0.000659,-0.006080,-0.000171,0.000685,-0.000101,-3.018179,-0.168878,0.140712,-0.016127,-0.011298,0.001046,0.000878,-0.000148,1.036613,-0.206335,0.141375,0.019382,-0.025385,-0.000913,0.002578,-0.000367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.404654,0.013262,-0.016104,-0.005600,0.005108,0.000332,-0.000592,0.000084,-3.037990,0.035999,-0.026059,-0.015241,0.010535,0.000378,-0.001001,0.000142,1.018317,0.054911,-0.041317,-0.026569,0.016800,0.001810,-0.002077,0.000281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.420835,-0.009504,0.012433,0.003522,-0.003583,-0.000328,0.000471,-0.000066,-3.054323,-0.019698,0.017415,0.007993,-0.005799,-0.000737,0.000795,-0.000108,0.985163,-0.032978,0.032409,0.013746,-0.010494,-0.001393,0.001487,-0.000203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.408916,0.006075,-0.009608,-0.002278,0.002796,0.000213,-0.000371,0.000054,-3.041003,0.010872,-0.012996,-0.004496,0.004133,0.000446,-0.000578,0.000082,1.012826,0.019111,-0.025292,-0.007812,0.007822,0.000784,-0.001086,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.418384,-0.003356,0.007840,0.001182,-0.002316,-0.000103,0.000313,-0.000048,-3.052659,-0.005646,0.010573,0.002195,-0.003274,-0.000210,0.000457,-0.000069,0.989078,-0.010119,0.020826,0.003846,-0.006330,-0.000362,0.000875,-0.000134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.410689,0.000779,-0.006694,-0.000002,0.002092,-0.000035,-0.000301,0.000053,-3.042785,0.001482,-0.009028,-0.000239,0.002891,-0.000018,-0.000422,0.000073,1.009084,0.002584,-0.017857,-0.000293,0.005649,-0.000056,-0.000818,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.416652,0.002229,0.005473,-0.001840,-0.002053,0.000328,0.000368,-0.000086,-3.050588,0.002917,0.007399,-0.002420,-0.002809,0.000436,0.000505,-0.000117,0.993355,0.005722,0.014639,-0.004769,-0.005509,0.000857,0.000986,-0.000228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.413773,-0.005328,-0.001126,0.005509,0.001226,-0.001565,-0.000716,0.000381,-3.046783,-0.007239,-0.001521,0.007476,0.001676,-0.002127,-0.000977,0.000518,1.001062,-0.014081,-0.003116,0.014586,0.003305,-0.004149,-0.001908,0.001010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
