# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,-2.335177,0.000000,-0.000000,1.419216,-1.614606,0.760751,-0.169775,0.014925,-3.064300,-0.000000,-0.000000,-0.030943,0.015612,-0.003663,0.000365,-0.000005,1.016406,0.000000,0.000000,0.130286,-0.181528,0.095628,-0.022529,0.002030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.489961,0.361506,-0.164620,0.124472,0.024690,-0.056212,0.019321,-0.002093,-3.138836,-0.088969,-0.021464,0.003632,-0.000567,-0.000020,0.000306,-0.000058,1.035394,-0.019689,0.010857,0.039640,-0.001885,-0.009371,0.003193,-0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.917674,0.294981,-0.079748,-0.033008,0.031154,0.009653,-0.007191,0.000951,-3.348093,-0.124237,0.011309,0.013174,0.002143,-0.000723,-0.000435,0.000091,1.159468,0.152928,0.013423,-0.025712,0.002061,0.002714,-0.000967,0.000105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.511162,0.334801,0.156155,0.013290,-0.037453,-0.003002,0.004861,-0.000680,-3.458342,0.029913,0.049211,-0.012372,-0.006870,0.000822,0.000720,-0.000127,1.375294,0.056432,-0.037681,0.002790,0.000836,-0.000585,0.000359,-0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.352579,0.380540,-0.180598,-0.035054,0.033197,0.003031,-0.003750,0.000498,-3.356882,0.020259,-0.040204,0.002470,0.009582,-0.000098,-0.000889,0.000132,1.377389,-0.035322,-0.004621,0.012332,0.002175,-0.000337,-0.000314,0.000051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.556878,0.017871,0.060897,0.047043,-0.020242,-0.003416,0.002562,-0.000320,-3.359178,0.049949,0.066579,0.012884,-0.007542,-0.000652,0.000787,-0.000108,1.380493,0.078783,0.055630,-0.000818,-0.005606,-0.000204,0.000338,-0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.853800,0.257154,-0.002090,-0.027696,0.008380,0.002407,-0.001490,0.000185,-3.047045,0.268949,0.032412,-0.010183,0.002892,0.000489,-0.000577,0.000091,1.646087,0.159262,-0.030525,-0.020753,0.002110,0.001129,-0.000093,-0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.244284,0.177281,-0.009284,0.004747,-0.004597,-0.001026,0.000857,-0.000114,-2.488364,0.336322,0.007419,-0.007271,-0.002046,0.000516,0.000582,-0.000117,1.751570,-0.059392,-0.056381,0.014372,0.004374,-0.001005,-0.000300,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.516535,0.098176,-0.043067,-0.003181,0.004654,0.000463,-0.000583,0.000080,-1.897373,0.309827,0.004134,0.019754,0.006866,-0.001237,-0.000905,0.000176,1.565568,-0.091478,0.026143,0.001863,-0.006013,0.000199,0.000522,-0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.577800,-0.002086,-0.002739,0.006488,-0.003260,-0.000383,0.000427,-0.000058,-1.176847,0.553312,0.099216,-0.012181,-0.012223,0.001060,0.001328,-0.000240,1.449173,-0.069738,-0.019430,-0.003939,0.004480,0.000245,-0.000514,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
