# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,-4.106961,0.000000,-0.000000,0.848466,-0.925247,0.425400,-0.093203,0.008083,-2.663587,-0.000000,-0.000000,0.093070,-0.126233,0.067051,-0.016207,0.001501,1.001528,0.000000,-0.000000,0.210104,-0.259910,0.130016,-0.030144,0.002712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-3.505065,0.347645,-0.062519,0.069056,0.021959,-0.030719,0.009203,-0.000925,-2.638307,-0.000722,0.003232,0.017653,-0.004308,-0.005684,0.002812,-0.000353,1.096284,0.031467,-0.004859,0.031815,-0.001648,-0.010739,0.004222,-0.000480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.767523,0.517356,0.026763,-0.034412,0.004220,0.005587,-0.002517,0.000308,-2.604598,0.018145,-0.013926,0.001154,0.009192,0.000576,-0.001659,0.000261,1.217562,0.085118,-0.017423,-0.011550,0.009019,0.002089,-0.001859,0.000259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.862525,0.458477,-0.025272,-0.003515,-0.004933,-0.000544,0.001387,-0.000229,-2.542422,0.098830,0.046471,-0.012231,-0.013013,0.000494,0.001644,-0.000269,1.334541,0.081573,0.027324,-0.001041,-0.009700,-0.000287,0.001422,-0.000224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.165646,0.291496,-0.043817,0.021299,0.010704,-0.001262,-0.001520,0.000274,-2.373233,-0.010003,-0.091708,0.003476,0.016318,-0.000191,-0.001770,0.000277,1.491612,0.035485,-0.048298,0.003989,0.011187,-0.000223,-0.001410,0.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.600938,0.418618,0.074437,-0.019919,-0.018565,0.001075,0.001950,-0.000317,-2.544367,-0.069201,0.064590,0.009463,-0.014921,-0.000362,0.001739,-0.000266,1.502101,0.045656,0.047143,-0.002888,-0.012246,0.000334,0.001513,-0.000249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.152563,0.259046,-0.150095,-0.006761,0.021290,0.000472,-0.002061,0.000293,-2.524879,0.021465,-0.027389,-0.004142,0.012045,0.000223,-0.001631,0.000265,1.634427,0.030321,-0.047653,0.005117,0.013363,-0.000392,-0.001646,0.000270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.273485,0.011509,0.047497,0.028582,-0.014852,-0.001732,0.001655,-0.000209,-2.507229,0.054261,0.045438,-0.003688,-0.011185,0.000709,0.001720,-0.000305,1.658642,0.078611,0.064699,-0.004760,-0.015030,0.000312,0.001776,-0.000285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.471246,0.160602,-0.010768,-0.017929,0.007423,0.001860,-0.000994,0.000105,-2.347215,0.080712,0.000136,0.028003,0.016461,-0.001596,-0.002145,0.000371,1.873690,0.063044,-0.068590,0.000069,0.015847,-0.000031,-0.001839,0.000282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.707865,0.131210,0.030764,0.018178,-0.002879,-0.001740,0.000331,-0.000004,-1.940764,0.502555,0.187223,-0.020043,-0.026342,0.000652,0.002559,-0.000389,1.886292,0.044778,0.060540,0.001717,-0.016232,-0.000588,0.001736,-0.000240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.100570,0.297023,0.021144,-0.022094,-0.003278,0.001553,0.000276,-0.000074,-0.741477,0.595967,-0.147562,-0.032143,0.024520,0.001660,-0.002374,0.000316,2.035974,0.007467,-0.102607,-0.019461,0.013871,0.001726,-0.001310,0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
