# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,-3.159392,0.000000,-0.000000,1.358657,-1.622888,0.795118,-0.182036,0.016252,1.885661,0.000000,0.000000,0.325586,-0.390742,0.187518,-0.042007,0.003687,1.142729,-0.000000,-0.000000,1.606030,-1.902213,0.904382,-0.201447,0.017626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.441212,0.311608,-0.050999,0.174205,0.000293,-0.063710,0.023872,-0.002652,2.022978,0.006284,-0.051909,0.043238,0.007284,-0.014998,0.004711,-0.000480,1.857370,0.056862,-0.283674,0.193037,0.041125,-0.070706,0.021873,-0.002223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.575172,0.556970,-0.115693,-0.075889,0.046484,0.013106,-0.009726,0.001289,2.042600,0.042204,-0.000680,-0.016995,0.003432,0.003138,-0.001371,0.000158,1.871070,0.110681,-0.005126,-0.066519,0.014821,0.013922,-0.006288,0.000733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.902493,0.381903,0.123322,0.020943,-0.045249,-0.003810,0.006610,-0.000963,2.075647,0.001661,0.004406,0.007499,-0.002707,-0.000867,0.000633,-0.000095,1.915236,-0.015549,0.037160,0.026414,-0.016117,-0.003957,0.002995,-0.000392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.071553,0.289958,-0.206891,-0.009209,0.045287,0.001737,-0.005589,0.000827,2.107891,0.031043,0.003742,-0.001059,0.000861,-0.000523,-0.000570,0.000126,1.995948,0.036477,-0.048723,-0.012072,0.013844,0.001584,-0.001974,0.000275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.096774,0.169930,0.173768,0.023284,-0.042087,-0.002092,0.004884,-0.000701,2.157107,-0.008934,-0.056543,-0.032307,-0.005778,0.001940,0.001024,-0.000211,1.958166,-0.007756,0.045888,0.009007,-0.011879,-0.000973,0.001503,-0.000209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.746432,0.313894,-0.151047,-0.034282,0.033388,0.002684,-0.004004,0.000559,1.762371,-0.496671,-0.151744,0.031590,0.018309,-0.001454,-0.001649,0.000265,2.041031,0.036691,-0.039640,-0.009095,0.009817,0.000975,-0.001145,0.000148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.921713,0.036966,0.061590,0.030423,-0.023120,-0.002358,0.003075,-0.000429,0.680762,-0.506141,0.136256,0.020635,-0.020814,-0.001108,0.001713,-0.000207,2.017140,-0.007947,0.037964,0.013869,-0.006837,-0.001255,0.000734,-0.000080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.157696,0.136930,-0.047310,-0.010564,0.017681,0.001543,-0.002357,0.000328,0.135534,-0.214516,-0.035180,-0.040938,0.010398,0.003263,-0.000908,0.000040,2.132345,0.102219,-0.009866,-0.019615,0.001348,0.001238,-0.000275,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.345624,0.169934,0.088569,0.011540,-0.016186,-0.001514,0.001794,-0.000230,-0.465120,-0.418408,0.010643,0.048670,0.003650,-0.003835,-0.000400,0.000152,2.198666,-0.055718,-0.053793,0.004470,0.002556,-0.000584,-0.000061,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.857133,0.291411,-0.061553,-0.028746,0.010612,0.002169,-0.001116,0.000112,-0.938635,-0.029795,0.117145,-0.040655,-0.019053,0.002313,0.001532,-0.000259,1.963272,-0.179554,-0.015790,0.003924,-0.001683,0.000094,0.000186,-0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.136381,0.051582,-0.014543,0.028730,-0.001436,-0.002273,0.000298,0.000008,-0.972010,-0.218187,-0.199855,-0.018300,0.023483,0.001156,-0.001745,0.000211,1.598111,-0.219120,-0.004939,0.005005,0.001749,-0.000060,-0.000214,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.303858,0.161894,0.029586,-0.017866,-0.005738,0.001504,0.000398,-0.000091,-1.903630,-0.654000,0.035972,0.061801,-0.008079,-0.003301,0.000924,-0.000069,1.227212,-0.166225,0.032341,0.002996,-0.002297,-0.000056,0.000215,-0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.563713,0.062035,-0.064032,0.002924,0.008567,-0.000428,-0.000754,0.000121,-2.725815,-0.194508,0.137494,-0.021284,-0.006927,0.001967,0.000046,-0.000034,1.029803,-0.060155,0.021472,-0.002188,0.001015,0.000043,-0.000197,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.548410,-0.018803,0.022966,0.007062,-0.007196,-0.000277,0.000782,-0.000114,-2.790348,0.032180,-0.004232,-0.014460,0.005997,0.000101,-0.000390,0.000052,0.985170,0.007518,0.013690,-0.004529,-0.001498,0.000151,0.000217,-0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.569115,0.011270,-0.017198,-0.004216,0.005056,0.000370,-0.000663,0.000096,-2.775779,-0.010222,-0.000400,0.005599,-0.001434,-0.000548,0.000270,-0.000031,1.008802,0.000942,-0.012167,0.000857,0.002555,-0.000135,-0.000269,0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.552470,-0.006119,0.013927,0.002175,-0.004134,-0.000189,0.000560,-0.000086,-2.780881,0.003871,0.000284,-0.002242,0.000499,0.000268,-0.000120,0.000013,0.993933,-0.001590,0.009790,-0.000019,-0.002513,0.000053,0.000304,-0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.566061,0.001447,-0.011880,-0.000038,0.003721,-0.000057,-0.000535,0.000094,-2.779039,-0.001607,-0.000056,0.000935,-0.000202,-0.000117,0.000049,-0.000005,1.004545,-0.000101,-0.008230,0.000609,0.002428,-0.000119,-0.000336,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.555501,0.003924,0.009714,-0.003246,-0.003646,0.000580,0.000653,-0.000152,-2.779626,0.000782,-0.000060,-0.000459,0.000085,0.000061,-0.000017,0.000000,0.996853,0.003233,0.006662,-0.002547,-0.002456,0.000441,0.000439,-0.000104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.560611,-0.009433,-0.002010,0.009759,0.002180,-0.002774,-0.001270,0.000675,-2.779584,-0.000471,0.000261,0.000366,-0.000080,-0.000087,-0.000011,0.000015,1.000420,-0.006813,-0.001219,0.006969,0.001450,-0.001969,-0.000882,0.000475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
