# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,4.702993,0.000000,0.000000,-0.825777,0.910748,-0.418206,0.091221,-0.007875,1.380888,0.000000,0.000000,-0.000146,-0.056192,0.041658,-0.010942,0.001025,0.974299,-0.000000,0.000000,0.357329,-0.520986,0.283925,-0.069122,0.006397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,4.163313,-0.262379,0.092936,-0.072721,-0.025669,0.030669,-0.008555,0.000813,1.266700,-0.121730,0.021586,0.045289,-0.004089,-0.006629,0.002050,-0.000189,0.993847,-0.090892,0.017189,0.092692,-0.020514,-0.026614,0.011933,-0.001397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,3.632918,-0.400604,-0.033318,0.037200,0.000316,-0.006271,0.001752,-0.000157,1.273038,0.141272,0.047064,-0.029283,-0.002518,0.002649,-0.000341,0.000005,1.028765,0.014551,-0.109741,-0.037401,0.035053,0.006851,-0.005770,0.000749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.952454,-0.318997,0.021171,-0.017032,-0.002854,0.001978,-0.000233,0.000006,1.522047,0.067758,-0.057204,0.000732,0.005755,-0.000703,-0.000276,0.000052,0.827896,-0.039422,0.159050,0.037871,-0.031060,-0.004287,0.003719,-0.000460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,2.343395,-0.397064,-0.045334,0.001581,0.004755,-0.000170,-0.000163,0.000015,1.503315,-0.052819,-0.005179,0.006013,-0.003465,-0.000152,0.000378,-0.000054,1.187017,0.262025,-0.088997,-0.059201,0.017432,0.004456,-0.002109,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,1.528535,-0.457211,0.026646,0.016872,-0.001605,-0.000883,0.000032,0.000020,1.396098,-0.072099,-0.010906,0.000427,0.002499,0.000231,-0.000307,0.000037,1.231988,-0.181811,-0.054616,0.044340,-0.000880,-0.003533,0.000637,-0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.856363,-0.271670,0.047750,-0.012295,-0.003834,0.000853,0.000288,-0.000059,1.255251,-0.062449,0.019825,0.003524,-0.002841,-0.000564,0.000161,-0.000004,0.929571,-0.086344,0.051327,-0.011970,-0.006932,0.001600,0.000308,-0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.429948,-0.245823,-0.021592,-0.000206,0.005743,-0.000095,-0.000463,0.000059,1.192034,-0.035866,-0.025949,-0.017844,-0.000814,0.000926,0.000114,-0.000034,0.833165,-0.079453,-0.036337,-0.001655,0.006962,-0.000268,-0.000652,0.000108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.039661,-0.234257,0.034200,0.005627,-0.005565,-0.001046,0.000288,0.000007,0.947355,-0.270011,-0.079668,0.007158,0.006014,-0.000206,-0.000322,0.000043,0.613923,-0.126064,0.014507,0.003028,-0.005186,0.000052,0.000711,-0.000119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.387761,-0.208088,-0.057589,-0.032268,0.000517,0.002547,0.000374,-0.000141,0.292025,-0.383469,0.030819,0.021841,-0.002791,-0.000758,0.000220,-0.000020,0.414011,-0.110411,-0.001988,0.006789,0.005512,-0.000420,-0.000798,0.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.085182,-0.575797,-0.068823,0.046387,0.012724,-0.003080,-0.001410,0.000292,-0.209799,-0.143422,0.076829,-0.004656,-0.003011,0.000248,-0.000035,0.000013,0.279805,-0.001056,0.047288,-0.008791,-0.008262,0.000610,0.000988,-0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.032057,-0.325025,0.142618,-0.019946,-0.023843,0.001697,0.002290,-0.000385,-0.273217,0.029904,0.006669,-0.017652,0.000185,0.000754,0.000128,-0.000045,0.327959,-0.005516,-0.035869,0.005695,0.011083,-0.000173,-0.001132,0.000168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-2.438289,-0.306996,-0.121981,-0.009894,0.024209,0.000099,-0.002585,0.000396,-0.283626,-0.070691,-0.038503,0.006731,0.003992,-0.000942,-0.000441,0.000097,0.320694,0.083533,0.088816,0.009012,-0.011307,-0.000929,0.000993,-0.000117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-3.256155,-0.470023,0.051568,0.010942,-0.019674,-0.000711,0.002435,-0.000358,-0.482609,-0.127371,-0.010862,-0.011173,-0.006119,0.000926,0.000785,-0.000143,0.704355,0.262495,-0.027492,-0.029499,0.004787,0.001801,-0.000490,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-4.035206,-0.484908,-0.071950,-0.000520,0.019232,0.001095,-0.002103,0.000282,-0.844191,-0.315699,-0.068930,0.014187,0.011133,-0.000394,-0.001028,0.000154,0.985526,0.033513,-0.053410,0.017347,0.003253,-0.001448,-0.000108,0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-4.979981,-0.411183,0.144814,0.031258,-0.015601,-0.002318,0.001474,-0.000157,-1.471848,-0.264924,0.100685,0.017621,-0.011094,-0.000997,0.000917,-0.000106,0.980011,0.008948,0.020426,-0.001886,-0.005505,0.000581,0.000482,-0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-5.235102,0.058916,0.043569,-0.041910,0.003209,0.002866,-0.000519,0.000008,-1.629924,0.037019,0.023763,-0.026249,0.003047,0.001702,-0.000420,0.000022,1.015523,-0.000414,-0.021725,0.001518,0.005236,-0.000220,-0.000630,0.000108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-5.161845,-0.023804,-0.031151,0.016782,0.005367,-0.002197,-0.000413,0.000132,-1.588288,-0.014752,-0.016401,0.010192,0.002463,-0.001319,-0.000137,0.000060,0.989223,0.001310,0.018882,-0.002063,-0.005378,0.000341,0.000733,-0.000136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-5.198637,0.022241,0.022760,-0.015544,-0.007313,0.002433,0.001266,-0.000352,-1.608424,0.012646,0.011799,-0.008710,-0.003664,0.001347,0.000627,-0.000180,1.007269,-0.007828,-0.015178,0.006097,0.005543,-0.001044,-0.000988,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-5.185097,-0.030075,-0.000832,0.029215,0.003920,-0.008014,-0.003190,0.001848,-1.601106,-0.016131,-0.000209,0.015558,0.001934,-0.004245,-0.001657,0.000971,0.999089,0.015789,0.002629,-0.016093,-0.003255,0.004537,0.002016,-0.001090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
