# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,-0.515036,-0.000000,0.000000,-0.461660,0.589852,-0.302635,0.071923,-0.006602,2.322401,0.000000,0.000000,-0.566585,0.531162,-0.216574,0.043494,-0.003554,1.001331,0.000000,-0.000000,-0.006679,0.004129,0.000485,-0.000657,0.000097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.692155,-0.029173,0.027710,-0.056309,0.015109,0.024207,-0.011731,0.001446,1.759433,-0.397434,0.074264,0.006899,-0.029097,0.011256,-0.001536,0.000054,0.998510,0.005521,0.007302,-0.002512,-0.003711,-0.000001,0.000567,-0.000091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.676127,0.163629,0.155536,-0.002042,-0.042262,-0.003734,0.006585,-0.000960,1.180102,-0.312563,-0.017896,0.003235,0.008560,-0.001689,-0.000848,0.000184,0.991812,-0.037180,-0.025298,0.003532,0.005188,-0.000129,-0.000591,0.000093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.238158,0.035215,-0.238950,-0.009808,0.048417,0.001769,-0.005572,0.000808,0.615857,-0.286776,0.006195,-0.021698,-0.010284,0.001735,0.001478,-0.000290,0.900913,-0.023832,0.031138,0.001840,-0.005650,-0.000126,0.000592,-0.000086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.605903,-0.133512,0.196853,0.041277,-0.041767,-0.003178,0.004661,-0.000634,-0.054711,-0.527443,-0.091124,0.027138,0.017916,-0.002149,-0.002194,0.000405,0.922957,0.014059,-0.017119,-0.005223,0.004498,0.000404,-0.000494,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.344360,0.210812,-0.096677,-0.050578,0.026969,0.003834,-0.003369,0.000433,-1.047828,-0.437046,0.092913,-0.021680,-0.025336,0.001872,0.002934,-0.000498,0.904219,-0.012535,0.013761,0.006309,-0.002683,-0.000505,0.000327,-0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.306388,-0.076911,0.020457,0.033439,-0.013997,-0.002953,0.002119,-0.000268,-1.827112,-0.594751,-0.142456,0.017265,0.032521,-0.000497,-0.003371,0.000512,0.934451,0.037136,0.002201,-0.005396,0.000803,0.000392,-0.000161,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.330416,0.016409,-0.016326,-0.013970,0.007801,0.001623,-0.001277,0.000166,-3.014451,-0.462812,0.227480,0.029194,-0.031262,-0.001847,0.003122,-0.000423,0.988558,0.017671,-0.006867,0.000744,0.000082,-0.000146,0.000062,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.356101,-0.015766,0.019679,0.006731,-0.005735,-0.000799,0.000831,-0.000113,-3.222351,0.066705,-0.008049,-0.046369,0.017615,0.002944,-0.002240,0.000281,1.002191,-0.000437,-0.003044,0.000995,0.000193,-0.000010,-0.000037,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.335281,0.011846,-0.016058,-0.004732,0.004493,0.000477,-0.000596,0.000082,-3.217548,-0.034231,0.015075,0.017562,-0.007485,-0.002049,0.001320,-0.000164,0.998296,-0.000435,0.002113,-0.000009,-0.000434,0.000014,0.000042,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
